,skill_id,nurse_id,ward_id,surgery_type_id
0,0,6,0,0
1,1,1,0,0
2,2,4,0,0
3,3,9,0,0
4,4,5,0,0
5,5,2,0,0
6,6,6,0,1
7,7,7,0,1
8,8,0,0,1
9,9,8,0,2
10,10,3,0,2
11,11,0,0,2
12,12,2,0,2
13,13,9,0,3
14,14,7,0,3
15,15,2,0,3
16,16,9,0,4
17,17,1,0,4
18,18,4,0,4
19,19,7,0,4
20,20,8,0,4
21,21,6,0,4
22,22,5,0,4
23,23,2,0,4
24,24,0,0,4
25,25,3,0,4
26,26,1,0,5
27,27,2,0,5
28,28,9,0,5
29,29,8,0,5
30,30,3,0,6
31,31,2,0,7
32,32,6,0,7
33,33,8,0,7
34,34,0,0,7
35,35,7,0,7
36,36,4,0,7
37,37,5,0,7
38,38,1,0,7
39,39,1,0,8
40,40,3,0,8
41,41,5,0,8
42,42,9,0,9
43,43,1,0,10
44,44,3,0,10
45,45,8,0,11
46,46,8,0,12
47,47,1,0,12
48,48,3,0,12
49,49,4,0,12
50,50,5,0,12
51,51,0,0,12
52,52,7,0,12
53,53,2,0,12
54,54,4,0,13
55,55,9,0,13
56,56,7,0,13
57,57,8,0,13
58,58,3,0,13
59,59,2,0,13
60,60,2,0,14
61,61,6,0,14
62,62,9,0,14
63,63,1,0,15
64,64,4,0,15
65,65,7,0,15
66,66,8,0,15
67,67,0,0,15
68,68,3,0,15
69,69,2,0,15
70,70,6,0,15
71,71,3,0,16
72,72,7,0,16
73,73,6,0,17
74,74,2,0,17
75,75,0,0,17
76,76,9,0,18
77,77,3,0,18
78,78,4,0,18
79,79,2,0,18
80,80,7,0,18
81,81,6,0,18
82,82,5,0,18
83,83,8,0,18
84,84,9,0,19
85,85,0,0,20
86,86,4,0,20
87,87,1,0,20
88,88,9,0,21
89,89,4,0,21
90,90,3,0,21
91,91,8,0,21
92,92,2,0,22
93,93,7,0,22
94,94,5,0,22
95,95,3,0,22
96,96,9,0,22
97,97,6,0,22
98,98,8,0,22
99,99,0,0,22
100,100,0,0,23
101,101,2,0,23
102,102,1,0,23
103,103,3,0,23
104,104,6,0,24
105,105,9,0,24
106,106,8,0,24
107,107,1,0,24
108,108,4,0,24
109,109,5,0,24
110,110,0,0,24
111,111,3,0,24
112,112,2,0,24
113,113,7,0,24
114,114,7,0,25
115,115,4,0,25
116,116,6,0,25
117,117,8,0,25
118,118,5,0,25
119,119,9,0,25
120,120,0,0,25
121,121,3,0,25
122,122,2,0,25
123,123,4,0,26
124,124,0,0,26
125,125,1,0,26
126,126,2,0,26
127,127,8,0,26
128,128,5,0,26
129,129,3,0,26
130,130,9,0,26
131,131,6,0,26
132,132,0,0,27
133,133,4,0,27
134,134,2,0,27
135,135,6,0,27
136,136,3,0,27
137,137,5,0,27
138,138,8,0,28
139,139,4,0,28
140,140,7,0,28
141,141,2,0,28
142,142,1,0,28
143,143,0,0,28
144,144,5,0,28
145,145,6,0,28
146,146,3,0,28
147,147,9,0,28
148,148,6,0,29
149,149,1,0,29
150,150,2,0,29
151,151,9,0,29
152,152,0,0,29
153,153,7,0,29
154,154,8,0,29
155,155,4,0,29
156,156,5,0,29
157,157,3,0,29
158,158,3,0,30
159,159,5,0,30
160,160,1,0,30
161,161,7,0,30
162,162,2,0,30
163,163,9,0,30
164,164,4,0,30
165,165,0,0,30
166,166,8,0,30
167,167,6,0,31
168,168,4,0,31
169,169,0,0,31
170,170,2,0,31
171,171,8,0,32
172,172,0,0,32
173,173,4,0,32
174,174,1,0,32
175,175,2,0,32
176,176,2,0,33
177,177,6,0,33
178,178,3,0,33
179,179,0,0,33
180,180,3,0,34
181,181,0,0,34
182,182,1,0,34
183,183,8,0,34
184,184,9,0,34
185,185,6,0,35
186,186,0,0,35
187,187,5,0,35
188,188,9,0,35
189,189,4,0,35
190,190,1,0,36
191,191,3,0,36
192,192,7,0,37
193,193,1,0,37
194,194,3,0,37
195,195,0,0,37
196,196,4,0,37
197,197,5,0,37
198,198,8,0,37
199,199,6,0,37
200,200,2,0,37
201,201,1,1,38
202,202,0,1,38
203,203,6,1,38
204,204,8,1,38
205,205,5,1,38
206,206,9,1,38
207,207,7,1,38
208,208,3,1,38
209,209,4,1,38
210,210,7,1,39
211,211,4,1,39
212,212,2,1,39
213,213,6,1,39
214,214,3,1,39
215,215,5,1,39
216,216,8,1,39
217,217,8,1,40
218,218,7,1,40
219,219,4,1,41
220,220,6,1,41
221,221,3,1,41
222,222,9,1,41
223,223,7,1,41
224,224,0,1,41
225,225,8,1,41
226,226,7,1,42
227,227,1,1,42
228,228,5,1,42
229,229,9,1,42
230,230,2,1,43
231,231,5,1,43
232,232,4,1,43
233,233,7,1,43
234,234,0,1,43
235,235,9,2,44
236,236,4,2,44
237,237,3,2,44
238,238,0,2,44
239,239,7,2,44
240,240,8,2,44
241,241,2,2,44
242,242,9,2,45
243,243,7,2,45
244,244,0,2,45
245,245,5,2,45
246,246,8,2,45
247,247,8,2,46
248,248,9,2,46
249,249,6,2,46
250,250,2,2,47
251,251,7,2,47
252,252,0,2,47
253,253,6,2,47
254,254,8,2,47
255,255,5,2,47
256,256,4,2,47
257,257,7,2,48
258,258,1,2,48
259,259,5,2,48
260,260,3,2,48
261,261,2,2,48
262,262,4,2,48
263,263,8,2,48
264,264,6,2,48
265,265,0,2,48
266,266,9,2,48
267,267,7,2,49
