,id,surgery_request_id,equipment_id
0,0,0,6
1,1,0,9
2,2,0,1
3,3,0,4
4,4,0,2
5,5,0,3
6,6,0,8
7,7,1,9
8,8,1,8
9,9,1,2
10,10,1,5
11,11,1,3
12,12,2,7
13,13,2,4
14,14,2,2
15,15,2,3
16,16,2,0
17,17,3,0
18,18,3,6
19,19,3,5
20,20,3,8
21,21,3,9
22,22,3,7
23,23,3,4
24,24,3,2
25,25,3,1
26,26,3,3
27,27,4,7
28,28,4,8
29,29,4,9
30,30,4,0
31,31,4,5
32,32,7,0
33,33,7,2
34,34,7,8
35,35,8,2
36,36,8,4
37,37,8,5
38,38,8,1
39,39,8,0
40,40,8,8
41,41,8,3
42,42,9,7
43,43,9,9
44,44,9,4
45,45,9,2
46,46,9,6
47,47,9,1
48,48,10,6
49,49,12,8
50,50,12,0
51,51,12,5
52,52,13,8
53,53,13,2
54,54,13,9
55,55,13,3
56,56,13,6
57,57,13,0
58,58,14,7
59,59,14,0
60,60,14,1
61,61,14,6
62,62,14,5
63,63,14,4
64,64,14,2
65,65,15,3
66,66,15,1
67,67,15,4
68,68,15,5
69,69,15,8
70,70,15,2
71,71,15,0
72,72,15,6
73,73,15,9
74,74,18,7
75,75,18,1
76,76,18,6
77,77,18,4
78,78,18,5
79,79,18,3
80,80,18,9
81,81,19,3
82,82,20,4
83,83,20,2
84,84,20,0
85,85,20,3
86,86,20,8
87,87,21,9
88,88,21,0
89,89,21,7
90,90,21,8
91,91,21,2
92,92,21,5
93,93,21,6
94,94,21,1
95,95,22,0
96,96,22,2
97,97,22,5
98,98,22,9
99,99,22,6
100,100,22,7
101,101,23,6
102,102,23,9
103,103,23,8
104,104,23,3
105,105,23,2
106,106,23,4
107,107,23,5
108,108,23,0
109,109,23,1
110,110,23,7
111,111,24,8
112,112,24,2
113,113,24,5
114,114,24,0
115,115,24,3
116,116,24,9
117,117,24,6
118,118,24,4
119,119,24,7
120,120,24,1
121,121,25,1
122,122,25,2
123,123,25,4
124,124,25,8
125,125,25,6
126,126,25,3
127,127,25,9
128,128,25,7
129,129,25,5
130,130,26,9
131,131,26,5
132,132,26,7
133,133,26,4
134,134,26,8
135,135,26,6
136,136,26,2
137,137,26,3
138,138,26,1
139,139,27,1
140,140,28,6
141,141,28,4
142,142,28,1
143,143,28,5
144,144,28,2
145,145,29,8
146,146,29,4
147,147,29,9
148,148,29,1
149,149,29,0
150,150,29,5
151,151,29,3
152,152,29,6
153,153,29,2
154,154,29,7
155,155,30,5
156,156,31,6
157,157,31,5
158,158,31,2
159,159,32,5
160,160,32,8
161,161,32,1
162,162,32,0
163,163,32,2
164,164,32,4
165,165,32,3
166,166,32,9
167,167,32,6
168,168,32,7
169,169,33,2
170,170,33,8
171,171,33,7
172,172,33,4
173,173,33,6
174,174,33,3
175,175,33,9
176,176,33,1
177,177,34,1
178,178,36,3
179,179,36,2
180,180,36,7
181,181,36,6
182,182,36,9
183,183,36,8
184,184,36,1
185,185,36,0
186,186,36,4
187,187,38,6
188,188,38,9
189,189,38,0
190,190,38,3
191,191,38,4
192,192,38,2
193,193,38,7
194,194,38,1
195,195,39,7
196,196,39,5
197,197,39,2
198,198,39,6
199,199,39,9
200,200,39,0
201,201,39,1
202,202,39,8
203,203,40,4
204,204,41,6
205,205,41,8
206,206,41,5
