,id,surgery_request_id,equipment_id
0,0,1,2
1,1,1,4
2,2,1,0
3,3,3,0
4,4,4,4
5,5,4,0
6,6,4,3
7,7,5,1
8,8,7,4
9,9,7,3
10,10,7,0
11,11,7,2
12,12,7,1
13,13,8,2
14,14,8,4
15,15,8,1
16,16,8,3
17,17,9,0
18,18,9,4
19,19,10,1
20,20,10,2
21,21,10,3
22,22,10,4
23,23,11,2
24,24,11,4
25,25,11,0
26,26,11,1
27,27,12,2
28,28,12,3
29,29,12,1
30,30,13,0
31,31,14,0
32,32,14,1
33,33,15,0
34,34,15,2
35,35,15,1
36,36,17,3
37,37,17,0
38,38,17,2
39,39,17,1
40,40,17,4
41,41,18,0
42,42,18,1
43,43,18,4
44,44,18,2
45,45,19,1
46,46,19,0
47,47,19,3
48,48,19,4
49,49,19,2
50,50,20,4
51,51,20,2
52,52,22,0
53,53,22,2
54,54,22,4
55,55,22,3
56,56,23,0
57,57,23,2
58,58,24,1
59,59,25,0
60,60,25,1
61,61,25,2
62,62,25,3
63,63,26,4
64,64,26,2
65,65,27,4
66,66,28,4
67,67,28,3
68,68,28,2
69,69,29,1
70,70,29,2
71,71,29,0
72,72,30,0
73,73,31,0
74,74,31,3
75,75,31,2
76,76,34,4
77,77,34,1
78,78,34,0
79,79,35,1
80,80,35,0
81,81,35,2
82,82,35,3
83,83,35,4
84,84,36,2
85,85,36,1
86,86,36,4
87,87,36,0
88,88,36,3
89,89,37,4
90,90,37,0
91,91,37,3
92,92,38,4
93,93,38,0
94,94,38,1
95,95,39,0
96,96,40,2
97,97,40,3
98,98,40,1
99,99,40,4
100,100,40,0
101,101,41,4
102,102,41,3
103,103,42,2
104,104,42,1
105,105,42,0
106,106,42,3
107,107,43,1
108,108,43,4
109,109,44,2
110,110,44,4
111,111,45,0
112,112,45,2
113,113,45,4
114,114,45,3
115,115,46,2
116,116,46,3
117,117,46,1
118,118,47,3
119,119,48,3
120,120,51,1
121,121,51,3
122,122,51,2
123,123,51,4
124,124,52,3
125,125,52,1
126,126,52,2
127,127,52,4
128,128,53,0
129,129,53,3
130,130,54,1
131,131,55,2
132,132,55,3
133,133,56,1
134,134,58,3
135,135,58,2
136,136,58,0
137,137,58,4
138,138,59,1
139,139,59,0
140,140,59,2
141,141,59,4
142,142,59,3
143,143,60,2
144,144,61,4
145,145,61,2
146,146,62,1
147,147,62,4
148,148,62,0
149,149,63,1
150,150,63,3
151,151,63,2
152,152,63,4
153,153,64,0
154,154,65,3
155,155,65,2
156,156,65,1
157,157,66,4
158,158,66,2
159,159,66,3
160,160,67,1
161,161,67,2
162,162,67,0
163,163,67,4
164,164,68,0
165,165,68,1
166,166,68,4
167,167,70,2
168,168,70,3
169,169,71,2
170,170,71,1
171,171,71,0
172,172,71,4
173,173,71,3
174,174,72,4
175,175,73,0
176,176,73,3
177,177,73,1
178,178,73,2
179,179,73,4
180,180,74,4
181,181,75,4
182,182,75,1
183,183,75,2
184,184,75,0
185,185,77,1
186,186,77,3
187,187,78,4
188,188,78,1
189,189,78,2
190,190,79,3
191,191,79,0
192,192,79,1
193,193,79,2
194,194,80,1
195,195,80,2
196,196,80,3
197,197,80,4
198,198,80,0
199,199,81,3
200,200,81,0
201,201,82,0
202,202,82,4
203,203,82,1
204,204,82,2
205,205,83,2
206,206,83,4
207,207,83,1
208,208,83,0
209,209,83,3
210,210,84,0
211,211,84,1
212,212,87,3
213,213,87,0
214,214,88,1
215,215,88,3
216,216,88,2
217,217,88,0
218,218,88,4
219,219,90,2
220,220,91,0
221,221,91,4
222,222,92,0
223,223,94,0
224,224,94,1
225,225,94,3
226,226,95,0
227,227,95,3
228,228,95,1
229,229,95,4
230,230,95,2
231,231,96,4
232,232,96,3
233,233,96,0
234,234,96,1
235,235,97,2
236,236,99,3
237,237,99,4
238,238,100,0
239,239,100,4
240,240,100,3
241,241,101,1
242,242,101,0
243,243,101,4
244,244,101,2
245,245,101,3
246,246,102,2
247,247,103,3
248,248,103,2
249,249,103,4
250,250,104,4
251,251,106,3
252,252,106,1
253,253,107,1
254,254,107,2
255,255,107,4
256,256,107,0
257,257,108,2
258,258,108,3
259,259,108,4
260,260,108,0
261,261,109,4
262,262,109,3
263,263,109,1
264,264,109,2
265,265,110,4
266,266,111,2
267,267,111,0
268,268,111,3
269,269,111,1
270,270,111,4
271,271,113,2
272,272,113,0
273,273,113,4
274,274,113,3
275,275,114,3
276,276,114,0
277,277,114,4
278,278,115,3
279,279,115,2
280,280,116,0
281,281,117,2
282,282,117,3
283,283,118,2
284,284,118,3
285,285,118,0
286,286,119,4
287,287,119,3
288,288,119,0
289,289,119,2
290,290,119,1
291,291,120,3
292,292,120,0
293,293,120,4
294,294,121,3
295,295,121,0
296,296,121,1
297,297,121,4
298,298,122,1
299,299,122,3
300,300,122,4
301,301,122,0
302,302,122,2
303,303,125,2
304,304,125,1
305,305,125,4
306,306,126,0
307,307,127,2
308,308,129,2
309,309,129,1
310,310,130,2
311,311,130,3
312,312,130,1
313,313,131,3
314,314,131,0
315,315,131,4
316,316,131,2
317,317,131,1
318,318,132,0
319,319,133,2
320,320,133,1
321,321,134,4
322,322,134,2
323,323,135,3
324,324,135,0
325,325,136,1
326,326,136,3
327,327,136,2
328,328,136,0
329,329,137,2
330,330,138,2
331,331,140,3
332,332,140,0
333,333,140,1
334,334,140,4
335,335,141,2
336,336,141,4
337,337,141,1
338,338,141,0
339,339,142,4
340,340,143,3
341,341,143,4
342,342,143,1
343,343,143,0
344,344,144,4
345,345,144,3
346,346,144,2
347,347,144,0
348,348,146,0
349,349,146,2
350,350,146,4
351,351,147,0
352,352,147,4
353,353,147,2
354,354,148,1
355,355,148,4
356,356,148,3
357,357,149,0
358,358,150,4
359,359,150,1
360,360,150,3
361,361,151,1
362,362,151,4
363,363,152,4
364,364,152,3
365,365,153,0
366,366,153,1
367,367,153,3
368,368,153,2
369,369,154,1
370,370,155,2
371,371,155,4
372,372,155,3
373,373,155,0
374,374,156,4
375,375,156,0
376,376,156,2
377,377,156,3
378,378,157,1
379,379,157,3
380,380,158,2
381,381,158,3
382,382,158,4
383,383,158,0
384,384,159,4
385,385,160,4
386,386,160,0
387,387,160,1
388,388,160,2
389,389,161,2
