,senior_id,ward_id
0,446207976,0
1,100473547,0
2,798081422,0
3,673936996,0
4,812082273,0
5,959911911,0
6,289633410,0
7,270193144,0
8,206382249,0
9,444988777,0
10,414979277,0
11,347004546,0
12,218241963,0
13,842611496,0
14,374351532,0
15,255736970,0
16,431888084,0
17,816146403,0
18,210602717,0
19,635450802,0
20,704962078,0
21,305011450,0
22,236606425,0
23,353174328,0
24,400135864,0
25,829634465,0
26,253638050,0
27,985659311,0
28,350928988,1
29,629336179,1
30,267313394,1
31,686081607,1
32,932312790,1
33,579861668,1
