,senior_id,surgery_type_id,skill,skill_id
0,347004546,0,6,0
1,829634465,1,6,1
2,400135864,2,6,2
3,289633410,3,6,3
4,414979277,4,6,4
5,374351532,5,6,5
6,206382249,6,6,6
7,444988777,7,6,7
8,400135864,8,6,8
9,812082273,9,6,9
10,629336179,10,6,10
11,686081607,11,6,11
12,446207976,8,5,12
13,446207976,7,6,13
14,100473547,4,4,14
15,100473547,8,4,15
16,100473547,3,1,16
17,100473547,9,6,17
18,100473547,1,3,18
19,100473547,5,3,19
20,100473547,0,6,20
21,100473547,2,1,21
22,100473547,7,3,22
23,100473547,6,2,23
24,798081422,2,1,24
25,798081422,4,4,25
26,798081422,1,1,26
27,798081422,5,1,27
28,673936996,5,1,28
29,812082273,3,6,29
30,812082273,8,3,30
31,959911911,3,5,31
32,959911911,8,3,32
33,959911911,9,4,33
34,959911911,1,1,34
35,959911911,5,1,35
36,959911911,6,3,36
37,959911911,4,4,37
38,959911911,2,3,38
39,289633410,5,2,39
40,289633410,4,4,40
41,289633410,0,3,41
42,289633410,1,2,42
43,289633410,8,3,43
44,289633410,2,1,44
45,289633410,7,1,45
46,270193144,5,5,46
47,270193144,1,4,47
48,270193144,2,5,48
49,206382249,4,4,49
50,206382249,1,3,50
51,444988777,9,1,51
52,444988777,5,1,52
53,414979277,2,3,53
54,414979277,7,4,54
55,414979277,0,6,55
56,414979277,8,4,56
57,414979277,5,2,57
58,414979277,1,1,58
59,414979277,9,5,59
60,414979277,3,6,60
61,414979277,6,3,61
62,347004546,3,2,62
63,347004546,6,4,63
64,347004546,8,6,64
65,347004546,7,6,65
66,347004546,1,6,66
67,347004546,9,2,67
68,347004546,5,2,68
69,347004546,4,3,69
70,347004546,2,4,70
71,218241963,4,2,71
72,218241963,9,6,72
73,218241963,5,1,73
74,218241963,0,5,74
75,218241963,3,1,75
76,218241963,2,1,76
77,218241963,8,4,77
78,218241963,6,6,78
79,218241963,1,3,79
80,218241963,7,3,80
81,842611496,7,4,81
82,842611496,9,1,82
83,842611496,6,6,83
84,842611496,5,1,84
85,842611496,4,3,85
86,842611496,0,5,86
87,842611496,1,5,87
88,374351532,4,3,88
89,374351532,0,2,89
90,374351532,6,5,90
91,374351532,8,1,91
92,255736970,1,1,92
93,431888084,8,5,93
94,431888084,0,6,94
95,431888084,4,4,95
96,431888084,3,5,96
97,431888084,2,6,97
98,431888084,9,3,98
99,431888084,6,6,99
100,431888084,1,2,100
101,816146403,8,3,101
102,816146403,7,5,102
103,816146403,4,3,103
104,816146403,0,1,104
105,816146403,1,2,105
106,816146403,6,6,106
107,210602717,0,4,107
108,210602717,6,4,108
109,210602717,9,4,109
110,210602717,1,4,110
111,210602717,7,4,111
112,210602717,8,6,112
113,635450802,4,5,113
114,704962078,2,3,114
115,704962078,7,3,115
116,704962078,0,3,116
117,704962078,6,1,117
118,704962078,3,6,118
119,305011450,5,5,119
120,305011450,0,5,120
121,236606425,9,6,121
122,236606425,1,4,122
123,236606425,0,3,123
124,236606425,2,4,124
125,236606425,7,1,125
126,236606425,4,5,126
127,236606425,6,4,127
128,236606425,5,2,128
129,353174328,8,1,129
130,353174328,7,6,130
131,353174328,4,3,131
132,353174328,3,1,132
133,400135864,9,5,133
134,829634465,0,4,134
135,829634465,3,2,135
136,829634465,2,2,136
137,829634465,9,3,137
138,829634465,6,5,138
139,253638050,5,4,139
140,253638050,8,5,140
141,253638050,3,5,141
142,253638050,6,2,142
143,253638050,7,4,143
144,253638050,0,5,144
145,253638050,1,5,145
146,253638050,4,4,146
147,253638050,2,6,147
148,985659311,3,2,148
149,985659311,7,6,149
150,985659311,5,3,150
151,985659311,1,4,151
152,350928988,11,6,152
153,350928988,10,4,153
154,629336179,11,1,154
155,267313394,11,1,155
156,932312790,11,1,156
157,932312790,10,3,157
158,579861668,11,1,158
